Time (sec),Absolute load value (%),Absolute throttle position (%),Ambient air temperature (F),Barometric pressure (inHg),Calculated load value (%),Commanded fuel rail pressure A (inHg),Engine coolant temperature (F),Engine RPM (RPM),Fuel level input (%),Fuel rail pressure (psi),Fuel/Air commanded equivalence ratio,Intake air temperature (F),Intake manifold absolute pressure (inHg),Long term fuel % trim - Bank 1 (%),Mass air flow rate (lb/min),Vehicle speed (MPH),Acceleration (mph/s),Fuel rate (gal/hr),Instant fuel economy (MPG)
127.469,22.35294,11.76471,87.8,29.8254,41.17647,1051.272,194,563.25,67.45098,509.0825,0.9952455,105.8,13.87915,3.90625,0.284445,0,0,0.1898099,0
128.883,21.96078,11.76471,87.8,29.8254,41.96078,1054.225,194,561,67.45098,513.4336,0.9952455,105.8,14.17445,3.90625,0.2646,0,0,0.1765673,0
129.786,22.35294,11.76471,87.8,29.8254,41.56863,1057.178,194,564.75,67.45098,527.9374,0.9952455,105.8,14.46975,3.90625,0.2646,0,0,0.1765673,0
130.804,22.35294,11.76471,87.8,29.8254,42.35294,1063.084,197.6,555.5,67.84314,538.09,0.9952455,105.8,14.17445,3.90625,0.296352,0,0,0.1977554,0
131.639,22.35294,11.76471,87.8,29.8254,41.96078,1057.178,197.6,554.75,67.84314,533.7389,0.9952455,105.8,14.46975,3.90625,0.279153,0,0,0.1862785,0
132.395,22.7451,11.76471,87.8,29.8254,41.96078,1068.99,197.6,557,67.84314,538.09,0.9952455,105.8,14.17445,3.90625,0.272538,0,0,0.1818643,0
133.103,22.7451,11.76471,87.8,29.8254,42.7451,1068.99,197.6,558,67.84314,519.2351,0.9952455,105.8,14.17445,3.90625,0.269892,0,0,0.1800987,0
134.839,22.35294,11.76471,87.8,29.8254,41.96078,1048.319,197.6,556.25,67.84314,527.9374,0.9952455,105.8,14.17445,3.90625,0.285768,0,0,0.1906927,0
135.893,21.96078,11.76471,87.8,29.8254,41.56863,1048.319,197.6,552.25,67.84314,509.0825,0.9952455,105.8,14.17445,3.90625,0.292383,0,0,0.1951069,0
137.248,22.35294,11.76471,87.8,29.8254,41.96078,1057.178,197.6,563.75,67.84314,513.4336,0.9952455,105.8,14.17445,3.90625,0.297675,0,0,0.1986382,0
138.221,22.35294,11.76471,87.8,29.8254,41.96078,1057.178,197.6,553.25,67.84314,513.4336,0.9952455,105.8,14.46975,3.90625,0.287091,0,0,0.1915755,0
139.464,22.35294,11.76471,87.8,29.8254,41.96078,1080.802,197.6,562.25,67.84314,519.2351,0.9952455,105.8,14.17445,3.90625,0.287091,0,0,0.1915755,0
140.647,22.35294,11.76471,87.8,29.8254,42.35294,1063.084,197.6,554.5,67.84314,533.7389,0.9952455,105.8,14.17445,3.90625,0.284445,0,0,0.1898099,0
